Barcode,Product Name,Packing Size,Previous Price,Pack Price,Supplier,Selling Price,Promotion Price,Other,Filename
,rinda mango nata pudding 80gx6,16.0,18.192844147968465,18.192844147968465,jb yap brothers food sdn bhd,1.9,1.9,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,shoyuemi black pepper 14g824,60.0,26.270466949666464,26.270466949666464,jb yap brothers food sdn bhd,0.85,0.85,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,shoyuemi original 14g824,24.0,26.270466949666464,26.270466949666464,jb yap brothers food sdn bhd,0.85,0.85,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,shoyuemi sea weed 14g824,60.0,26.270466949666464,26.270466949666464,jb yap brothers food sdn bhd,0.85,0.85,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,snek ku mimi 20g  824,60.0,26.270466949666464,26.270466949666464,jb yap brothers food sdn bhd,0.85,0.85,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,snek ku tam tam  20g824,60.0,26.270466949666464,26.270466949666464,jb yap brothers food sdn bhd,0.85,0.85,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,train haw flakes 7gx10,120.0,34.93026076409946,34.93026076409946,jb yap brothers food sdn bhd,0.45,0.45,,9 .JB YAP BROTHERS FOOD SDN BHD - JULY'25.xlsx
,jackjill pchips salsachilli 15gx8,10.0,20.4,20.4,urc foods (singapore) pte ltd,3.0,3.0,,9. URC FOODS (SINGAPORE) PTE LTD.xlsx
,jackjill pchips seaweed 70g,20.0,22.5,22.5,urc foods (singapore) pte ltd,1.8,1.8,,9. URC FOODS (SINGAPORE) PTE LTD.xlsx
,jackjill pchips bbq 15gx8,10.0,20.4,20.4,urc foods (singapore) pte ltd,3.0,3.0,,9. URC FOODS (SINGAPORE) PTE LTD.xlsx
,roller coaster cheese 18gx8,10.0,16.9816,16.9816,urc foods (singapore) pte ltd,3.0,3.0,,9. URC FOODS (SINGAPORE) PTE LTD.xlsx
,roller coaster bbq 18gx8,10.0,16.9817,16.9817,urc foods (singapore) pte ltd,3.0,3.0,,9. URC FOODS (SINGAPORE) PTE LTD.xlsx
,piattos sourcrm 85g,30.0,22.707,22.707,urc foods (singapore) pte ltd,1.25,1.25,,9. URC FOODS (SINGAPORE) PTE LTD.xlsx
,shoonfatt cheese crks 120g,12.0,7.0,7.0,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt corn swich 120g,12.0,9.1,9.1,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt cornival naiyu crks 240g,12.0,13.4,13.4,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt cream crks sp 88g,24.0,8.1,8.1,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt grand butter crks 200g,12.0,13.4,13.4,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt biscuit lavish cheese swich 190g,12.0,13.4,13.4,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt biscuit lavish chocolate swich 190g,12.0,13.4,13.4,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt biscuit lavish pnutbutter swich 190g,12.0,13.4,13.4,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt biscuit lavish vegetable crks 200g,12.0,12.4,12.4,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt biscuit lemon flavoured sandwich 114g,12.0,9.1,9.1,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt bis colada lighttreat ccsp 200g,12.0,13.4,13.4,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt biscuit mefar coco sandwich 111g,12.0,9.1,9.1,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt biscuit mefar coffee sandwich 120g,12.0,9.1,9.1,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt biscuit mefar chocolate sandwich 114g,12.0,9.1,9.1,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt biscuit pineapple jam 120g,12.0,7.0,7.0,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt bpnutbutter swich 175g,12.0,13.8,13.8,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt popcorn crks 175g,10.0,7.2,7.2,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
,shoonfatt colada bis sweeties sugar crks 200g,12.0,13.4,13.4,biscotti trading pte ltd,0.0,0.0,,BT-2026-05-1 (04.05.26).pdf
