Product Name,Processed Product Name,Packing Style,Packing Size,Packing Price,Previous Packing Price,Exchange Rate,Supplier
APOLLO LYR CAKE COCOA 18Gx24,APOLLO LYR CAKE COCOA,18Gx24,12.0,27.2,,1.0,TGS GROUP SDN BHD
JULIES PNUT BUTTER SWICH 360G,JULIES PNUT BUTTER SWICH,360G,12.0,34.5,,1.0,TGS GROUP SDN BHD
MAMEE CHEF CREAMY TOMYAM 88GX4S,MAMEE CHEF CREAMY TOMYAM,88GX4S,8.0,15.0,,1.0,TGS GROUP SDN BHD
FUDO SWISS ROLL CAKE SBERRY 18Gx24S,FUDO SWISS ROLL CAKE SBERRY,18G,12.0,20.0,,1.0,TGS GROUP SDN BHD
MAMEE MONSTER CHICKEN 25Gx10,MAMEE MONSTER CHICKEN,25G,10.0,13.5,,1.0,TGS GROUP SDN BHD
F&N FRUITADE,F&N FRUITADE,1.1LT,12.0,8.4,,1.0,TGS GROUP SDN BHD
F&N GRAPE,F&N GRAPE,1.1LT,12.0,8.4,,1.0,TGS GROUP SDN BHD
F&N ICE CREAM SODA,F&N ICE CREAM SODA,1.1LT,12.0,8.4,,1.0,TGS GROUP SDN BHD
F&N SARSI,F&N SARSI,1.1LT,12.0,8.4,,1.0,TGS GROUP SDN BHD
F&N ORANGE,F&N ORANGE,1.1LT,12.0,8.4,,1.0,TGS GROUP SDN BHD
F&N STRAWBERRY,F&N STRAWBERRY,1.1LT,12.0,8.4,,1.0,TGS GROUP SDN BHD
F&N ZAPPEL,F&N ZAPPEL,1.1LT,12.0,8.4,,1.0,TGS GROUP SDN BHD
MAMEE PREMIUM CURRY NOODLE (5+1),MAMEE PREMIUM CURRY NOODLE,6X80G,8.0,11.5,,1.0,TGS GROUP SDN BHD
MAMEE PREMIUM VEGETARIAN NOODLE (5+1),MAMEE PREMIUM VEGETARIAN NOODLE,6X79G,8.0,11.5,,1.0,TGS GROUP SDN BHD
ORIENTAL CHEESE BALL,ORIENTAL CHEESE BALL,10X60G,6.0,34.0,,1.0,TGS GROUP SDN BHD
ORIENTAL ROTA PRAWN CRACKERS,ORIENTAL ROTA PRAWN CRACKERS,10X60G,6.0,34.0,,1.0,TGS GROUP SDN BHD
ORIENTAL CHICKEN RING F/P,ORIENTAL CHICKEN RING,8X14G,30.0,37.0,,1.0,TGS GROUP SDN BHD
SUPER RING FAMILY PACK,ORIENTAL SUPER RING FAMILY PACK,8X14G,30.0,37.0,,1.0,TGS GROUP SDN BHD
POPO MURUKU SPICY CHICKEN,POPO MURUKU SPICY CHICKEN,24X12G,20.0,30.5,,1.0,TGS GROUP SDN BHD
POPO MURUKU SWEET&SPICY,POPO MURUKU SWEET SPICY,24X12G,20.0,30.5,,1.0,TGS GROUP SDN BHD
POPO MURUKU IKAN KEROPOK,POPO MURUKU IKAN KEROPOK,24X12G,20.0,30.5,,1.0,TGS GROUP SDN BHD
MAGICLEAN KITCHEN REFILL LIME,MAGICLEAN KITCHEN REFILL,500ML,24.0,49.8,,1.0,TGS GROUP SDN BHD
MAGICLEAN BATHROOM REFILL TP,MAGICLEAN BATHROOM REFILL,2X500ML,12.0,49.0,,1.0,TGS GROUP SDN BHD
MUNCHY'S CHOCOLATE SANDWICH CRACKER,MUNCHY'S CHOCOLATE SANDWICH CRACKER,258G,12.0,18.85,,1.0,TGS GROUP SDN BHD
LEXUS CHOCOLATE SANDWICH,LEXUS CHOCOLATE SANDWICH,190G,12.0,20.5,,1.0,TGS GROUP SDN BHD
IBUMIE ALWAYS MI GORENG ASLI,IBUMIE ALWAYS MI GORENG ASLI,5X80G,12.0,18.5,,1.0,TGS GROUP SDN BHD
SUPER RING FAMILY PACK,ORIENTAL SUPER RING FAMILY PACK,8X14G,30.0,37.0,,1.0,TGS GROUP SDN BHD
ORIENTAL CHEESE BALL,ORIENTAL CHEESE BALL,10X60G,6.0,34.0,,1.0,TGS GROUP SDN BHD
POPO MURUKU IKAN KEROPOK,POPO MURUKU IKAN KEROPOK,24X12G,20.0,29.0,,1.0,TGS GROUP SDN BHD
MAMEE MONSTER F/P BBQ,MAMEE MONSTER BBQ,10X25G,10.0,13.5,,1.0,TGS GROUP SDN BHD
BREEZE LIQUID POWER CLEAN,BREEZE DET LIQ POWER CLEAN,3.6KG,4.0,25.7,,1.0,TGS GROUP SDN BHD
BREEZE LIQUID 2IN1- SILKY SAKURA,BREEZE LIQUID 2IN1- SILKY SAKURA,3.6KG,4.0,25.7,,1.0,TGS GROUP SDN BHD
SOFTLAN LAVENDER REFILL (PURPLE),SOFTLAN LAVENDER REFILL,1.5LT,8.0,13.6,,1.0,TGS GROUP SDN BHD
SOFTLAN SPRING FRESH REFILL,SOFTLAN SPRING FRESH REFILL,1.6LT,8.0,13.6,,1.0,TGS GROUP SDN BHD
MAGICLEAN BATHROOM STAIN & MOLD REFILL,MAGICLEAN BATHROOM STAIN & MOLD REFILL,400ML,12.0,25.5,,1.0,TGS GROUP SDN BHD
MAGICLEAN KITCHEN REFILL LIME,MAGICLEAN KITCHEN REFILL,500ML,24.0,49.8,,1.0,TGS GROUP SDN BHD
